brand,marketing_spend,roi,sustainability,innovation,time_to_decline,decline_event
Maybelline,77.59991820225434,0.460068608565171,5,5,40,1
Sephora,79.62735057040824,0.8859689734995918,3,1,28,1
Rare Beauty,66.52669390630025,0.5466222079909387,3,8,22,0
Sephora,51.56364067411939,0.31983043974032904,3,5,31,1
Sephora,92.34014807063696,0.5070427488160099,2,5,13,0
Fenty,89.48815181755697,0.6806108068208183,5,7,34,1
Rare Beauty,79.34881747180381,0.7084232709328602,1,4,31,1
Rare Beauty,51.407982271508445,0.6185607499902819,4,6,15,1
Rare Beauty,69.88424040888052,0.568669898743855,1,4,31,0
Sephora,121.134195274865,0.6317358534427968,5,3,39,0
Maybelline,129.01755405312056,0.6556180343276362,4,7,56,0
Rare Beauty,110.59599747810114,0.34851199579962916,5,8,46,1
Sephora,142.6300878513349,0.5217926736368427,3,4,12,1
Fenty,115.10770255019445,0.4452959629664555,4,2,9,0
Maybelline,141.49596755437807,0.7818838538279376,3,3,58,0
Fenty,135.00385777897992,0.5821803806676231,1,1,55,1
Maybelline,94.94506741382034,0.8900538845369058,1,8,50,0
Sephora,59.54101164904113,0.5392946654667319,4,3,16,1
L'Oréal,87.08182521982664,0.7898591239316304,4,7,34,1
Maybelline,116.88412526636073,0.7790070749907307,5,5,41,0
Fenty,116.59223566174967,0.3904305263792577,5,5,30,0
Sephora,109.12977877077272,0.6049192660444312,3,7,26,1
Maybelline,77.47217929900641,0.7174876840745291,4,9,41,0
L'Oréal,106.12434258477012,0.815015282888232,1,5,15,0
L'Oréal,88.29268747537898,0.4955753431211309,5,1,42,1
Rare Beauty,147.17120953891038,0.432144628539329,5,1,14,1
Rare Beauty,134.89138242660837,0.7266897194628107,1,2,29,1
Fenty,122.17295211648732,0.7857006276838293,5,6,40,1
Maybelline,73.59849197489558,0.5091995923750376,3,9,54,0
Maybelline,75.6068322761324,0.35770593065485246,4,8,40,0
Rare Beauty,54.04335895384313,0.8643139586937625,1,5,53,1
Maybelline,121.06628896857873,0.5385432126525134,4,1,41,1
Maybelline,61.089082081183136,0.6106508103164882,5,7,23,1
L'Oréal,93.93365018657701,0.8026260635443968,5,5,54,1
Rare Beauty,70.17192023353962,0.7054140702235685,1,6,44,0
Sephora,139.57635956735194,0.7411296715444633,3,7,37,1
Rare Beauty,97.53702231821117,0.42544297244262824,2,3,29,0
Sephora,106.32755719763837,0.6248687842965396,1,3,28,1
L'Oréal,119.55160864261275,0.7174706396070494,2,5,37,0
Fenty,63.933145440587566,0.4371300130783798,2,6,42,0
Maybelline,110.44173792778173,0.4049729562575617,3,9,17,0
L'Oréal,103.98410913016731,0.8893010059976614,2,5,54,1
Maybelline,70.30612247347693,0.6099815347626086,2,1,18,1
Fenty,144.2853570557981,0.4564975048982454,3,4,28,1
Fenty,109.8865466488536,0.8977522198547546,2,5,30,1
L'Oréal,119.47849330397045,0.8792516107732763,2,5,40,0
Fenty,138.04678390152577,0.6349760721642586,2,7,46,0
Sephora,112.43540481337932,0.8295818059136039,1,4,35,1
Fenty,79.56336858377139,0.4132242650048276,1,1,22,0
Maybelline,60.549425983027064,0.46732281155530914,1,5,54,1
Maybelline,95.65345704829102,0.7202146979836628,3,7,25,0
Maybelline,71.84404372168336,0.8079966853429836,5,6,53,1
Maybelline,91.65099478703662,0.8137945751268555,2,5,30,0
Sephora,138.32802589188682,0.5427048762733141,2,4,27,1
Rare Beauty,82.4345021005274,0.832662059256576,3,2,18,1
L'Oréal,62.20879547006734,0.8105570692605077,2,4,24,1
Maybelline,85.62978380769749,0.8613809965325686,1,3,54,0
Fenty,140.6828441545754,0.7712043906683662,5,1,41,1
Maybelline,77.21322493846353,0.7013929528285372,4,8,17,1
Fenty,114.76901205413623,0.6484119728618728,2,5,46,1
Fenty,50.05203769953158,0.5233696599370459,1,4,24,1
Maybelline,85.2568856334169,0.8640800654746671,4,8,17,1
Sephora,80.4781258158029,0.8841983020531905,5,7,14,1
Fenty,66.46558531429417,0.47035258484247944,4,2,12,1
Fenty,103.4089419375442,0.4832183162066361,1,1,33,1
Maybelline,98.48299713589832,0.5913682521517359,4,4,19,1
Fenty,119.24360328902704,0.5690544857917484,3,8,36,0
Fenty,76.94123337985215,0.8966744775664924,4,2,57,0
Maybelline,74.41255222477741,0.4055551516064072,2,3,24,1
Maybelline,66.82910421729305,0.3108452181693125,2,1,52,1
L'Oréal,71.87642195730703,0.5963362291100608,3,1,21,1
Sephora,105.81020020173412,0.4072936255327973,1,3,58,1
Sephora,90.38361710580408,0.519881270749716,2,5,10,0
Fenty,56.489224710898156,0.7465023138339374,5,3,40,0
Sephora,75.39154139343447,0.7325639545512777,2,1,17,1
Fenty,74.68760628386012,0.4848364751114335,2,1,30,0
L'Oréal,119.63042728397883,0.6255241383329396,1,8,57,1
Maybelline,121.2270589924442,0.605288446103256,4,2,26,0
Maybelline,64.80869299534,0.6817995709115373,2,3,41,1
Maybelline,149.77404850489418,0.4502770911633505,3,2,58,1
